"RR.screen","p.old.early","p.old.late","p.new.early","p.new.late","rx.eff.early","rx.eff.late","old.MRR","new.MRR"
0.7,0,0.2,0.9,1,0.6,0.6,0.141025641025641,0.141162514827995
0.7,0,0.2,0.9,1,0.7,0.6,0.141025641025641,0.130184331797235
0.7,0,0.2,0.9,1,0.8,0.6,0.141025641025641,0.123519458544839
0.7,0,0.2,0.9,1,0.9,0.6,0.141025641025641,0.107734806629834
0.7,0,0.2,0.9,1,1,0.6,0.141025641025641,0.101566720691518
0.7,0,0.2,0.9,1,0.6,0.7,0.146087743102668,0.154480483782298
0.7,0,0.2,0.9,1,0.7,0.7,0.146087743102668,0.143927233814874
0.7,0,0.2,0.9,1,0.8,0.7,0.146087743102668,0.137460650577125
0.7,0,0.2,0.9,1,0.9,0.7,0.146087743102668,0.122490993309315
0.7,0,0.2,0.9,1,1,0.7,0.146087743102668,0.116431451612903
0.7,0,0.2,0.9,1,0.6,0.8,0.146505376344086,0.163361169102296
0.7,0,0.2,0.9,1,0.7,0.8,0.146505376344086,0.153102746693795
0.7,0,0.2,0.9,1,0.8,0.8,0.146505376344086,0.146779830254618
0.7,0,0.2,0.9,1,0.9,0.8,0.146505376344086,0.132352941176471
0.7,0,0.2,0.9,1,1,0.8,0.146505376344086,0.126381547333013
0.7,0,0.2,0.9,1,0.6,0.9,0.147176522899066,0.171882762046696
0.7,0,0.2,0.9,1,0.7,0.9,0.147176522899066,0.161900145419292
0.7,0,0.2,0.9,1,0.8,0.9,0.147176522899066,0.155714285714286
0.7,0,0.2,0.9,1,0.9,0.9,0.147176522899066,0.141787552643893
0.7,0,0.2,0.9,1,1,0.9,0.147176522899066,0.135904499540863
0.7,0,0.2,0.9,1,0.6,1,0.149095721217468,0.184586108468126
0.7,0,0.2,0.9,1,0.7,1,0.149095721217468,0.174721189591078
0.7,0,0.2,0.9,1,0.8,1,0.149095721217468,0.168570123343993
0.7,0,0.2,0.9,1,0.9,1,0.149095721217468,0.154986522911051
0.7,0,0.2,0.9,1,1,1,0.149095721217468,0.149095721217468
